Headline,Body ID,Stance
"Soldier shot, Parliament locked down after gunfire erupts at war memorial",0,unrelated
Tourist dubbed ‘Spider Man’ after spider burrows under skin for days,0,unrelated
Luke Somers 'killed in failed rescue attempt in Yemen',0,unrelated
BREAKING: Soldier shot at War Memorial in Ottawa,0,unrelated
Giant 8ft 9in catfish weighing 19 stone caught in Italy is thought to be the biggest ever reeled in with a rod and line,0,unrelated
Enormous 20-stone catfish caught with fishing rod in Italy after 40-minute boat battle,0,unrelated
Italian catches huge wels catfish; is it a record?,0,unrelated
Not coming to a store near you: The pumpkin spice condom,0,unrelated
"One gunman killed in shooting on Parliament Hill in Ottawa, hunt on for other shooters",0,unrelated
Soldier shot at war memorial in Canada,0,unrelated
Surreal Photos of Fisherman’s Jaw-Dropping Catch Will Likely Have People Wondering If It’s Real,0,unrelated
Fisherman lands 19 STONE catfish which could be biggest in world to be hooked,0,unrelated
Source: Tom Brokaw Wants Brian Williams Fired,0,unrelated
A soldier has been shot at Canada’s war memorial just steps away from the nation’s parliament,0,unrelated
"280 Pound Catfish: Fisherman Makes Huge Catch In Italy, Catfish Could Set Record",0,unrelated
Rumor debunked: RoboCop-style robots are not patrolling Microsoft's campus,0,unrelated
Caught a catfish record in Po: 127 kg and 2.67 meters,0,unrelated
Monster catfish which looks big enough to swallow a man whole caught in Italy,0,unrelated
Luke Somers' sister says he was killed in failed Yemen rescue attempt,0,unrelated
"Apple Watch to Be Shower-Proof, Have 100,000 Apps at Launch: Reports",0,unrelated
Soldier shot near Canadian parliament building,0,unrelated
Soldier shot in Ottawa at War Memorial,0,unrelated
Soldier shot at War Memorial; multiple shots fired in Parliament,0,unrelated
"Comcast Is Threatening To Cut Off Customers Who Use Tor, The Web Browser For Criminals",0,unrelated
Small Meteorite Strikes in Nicaragua's Capital City of Managua,0,agree
Breaking: Soldier shot at National War Memorial in Ottawa,0,unrelated
"Google to buy big chunk of Pacific Shores, iconic Redwood City office park",0,unrelated
Canadian Soldier Shot At Ottawa War Memorial: Report,0,unrelated
Iraqi social-media rumors claim IS leader slain,0,unrelated
There has been a shooting at the War Memorial on Parliament Hill. Unconfirmed reports say a soldier was shot.,0,unrelated
The Pumpkin-Spice Condom Is Just a Figment of Your Own Gross Imagination,0,unrelated
Ottawa Shooting: Soldier Shot at Canada's National War Memorial,0,unrelated
BREAKING NEWS: Gunman 'shot dead' after wounding soldier near Canada parliament,0,unrelated
Kurds fear Isis use of chemical weapon in Kobani,0,unrelated
"Soldier, Gunman Killed In Shooting Incident Near Canadian Parliament",0,unrelated
Italian fisherman catches monstrous 280-pound catfish,0,unrelated
It Begins: HazMat-Wearing Passenger Spotted At Airport,4,discuss
"Comfort eating? Chinese woman, 26, spends an entire WEEK in KFC after being dumped by boyfriend",5,unrelated
WHO: Reports of Suspected Ebola Cases in Iraq Untrue,5,unrelated
"Reports Isis fighters have contracted Ebola are 'incorrect', says Iraqi health ministry",5,unrelated
Is Ebola Virus Spreading Among ISIS Militants? Reports Claim Jihadists Seeking Cure at Mosul Hospital,5,unrelated
ISIS fighters 'have contracted Ebola': World Health Organisation investigating reports militants showed up at Iraqi hospital with lethal disease,5,unrelated
ISIS cracks down on five confirmed Ebola cases among fighters: official,5,unrelated
"Confusion swirls, details murky in arrest of ISIS leader's 'wife'",5,unrelated
Ebola Outbreak 2015 Update: ISIS Fighters May Have Contracted Deadly Virus,5,unrelated
"ISIS Militants In Mosul Have Contracted Ebola, Iraqi Media Sources Claim",5,unrelated
ISIS Militants Allegedly Contracted Ebola,5,unrelated
WHO says reports of suspected Ebola cases in Iraq are untrue,5,unrelated
Amazon.com to open first physical store in Manhattan: DJ,5,unrelated
Alleged audio of Michael Brown shooting has surfaced,5,unrelated
Weaponized Ebola? ISIS Militants Said To Contract Deadly Virus,5,unrelated
Iraqi media says ISIS militants have contracted Ebola,5,unrelated
HORROR: ISIS Fighters Have Reportedly Contracted Ebola,5,unrelated
Matt Taibbi on leave of absence from First Look Media,5,unrelated
WHO says reports of suspected Ebola cases in Iraq are untrue,5,unrelated
'There is no limit to their depravity' Islamic State FEED mother her own SON,5,unrelated
Female Israeli fighter said abducted by Islamic State  Read more: Female Israeli fighter said abducted by Islamic State,5,unrelated
"Boko Haram: Kidnapped Girls Have Been Married Off, Truce Never Happened",5,unrelated
Does ISIS Have Ebola? Probably Not! Media Reports It Anyway,5,unrelated
"ISIS Militants Have Contracted Ebola: Iraqi, Kurdish Media Reports",5,unrelated
Biological Warfare on the Horizon? ISIS Soldiers May Be Infected With Ebola,5,unrelated
Daash Ebola transferred to Mosul {Google Translate],5,unrelated
ISIS militants trick mother into ‘eating her kidnapped son’,5,unrelated
ISIS fighters ‘have contracted Ebola’,5,unrelated
"No, there aren’t any Ebola cases in Iraq",5,unrelated
Fears Islamic State could launch EBOLA attack on Britain after fighters 'contract virus',5,unrelated
Iraqi media: ISIS militants have contracted Ebola,5,unrelated
